id,token_symbol,timestamp,ua_token_amount,odos_usdc_return,profit_amount,profit_percentage,input_usdc_amount
2490834,uAPT,2025-03-17 06:13:16.675157+00,186462000000000000000,986.535422,-13.464578,-1.3464578000,1000.000000
2490841,uAPT,2025-03-17 06:13:36.582696+00,186117000000000000000,985.295288,-14.704712,-1.4704712000,1000.000000
2490849,uAPT,2025-03-17 06:13:56.644075+00,186462000000000000000,986.375745,-13.624255,-1.3624255000,1000.000000
2490858,uAPT,2025-03-17 06:14:17.043107+00,186462000000000000000,986.229731,-13.770269,-1.3770269000,1000.000000
2490865,uAPT,2025-03-17 06:14:37.613739+00,186462000000000000000,985.980884,-14.019116,-1.4019116000,1000.000000
2490873,uAPT,2025-03-17 06:14:56.709484+00,186462000000000000000,985.93218,-14.06782,-1.406782000,1000.000000
2490888,uAPT,2025-03-17 06:15:36.785077+00,186462000000000000000,985.632688,-14.367312,-1.4367312000,1000.000000
2490903,uAPT,2025-03-17 06:16:17.643714+00,186117000000000000000,983.666199,-16.333801,-1.6333801000,1000.000000
2490917,uAPT,2025-03-17 06:16:56.499139+00,186113000000000000000,983.904845,-16.095155,-1.6095155000,1000.000000
2490928,uAPT,2025-03-17 06:17:17.884937+00,186462000000000000000,985.735307,-14.264693,-1.4264693000,1000.000000
2490935,uAPT,2025-03-17 06:17:37.583355+00,186113000000000000000,983.89839,-16.10161,-1.610161000,1000.000000
2490942,uAPT,2025-03-17 06:17:57.638521+00,186462000000000000000,985.680289,-14.319711,-1.4319711000,1000.000000
2490947,uAPT,2025-03-17 06:18:16.423358+00,186462000000000000000,985.697762,-14.302238,-1.4302238000,1000.000000
2490969,uAPT,2025-03-17 06:19:17.673199+00,186462000000000000000,985.532382,-14.467618,-1.4467618000,1000.000000
2490979,uAPT,2025-03-17 06:19:37.237477+00,186462000000000000000,985.279086,-14.720914,-1.4720914000,1000.000000
2490986,uAPT,2025-03-17 06:19:57.654921+00,186462000000000000000,985.266924,-14.733076,-1.4733076000,1000.000000
2491005,uAPT,2025-03-17 06:20:34.177997+00,186811000000000000000,987.137033,-12.862967,-1.2862967000,1000.000000
2491013,uAPT,2025-03-17 06:20:57.715262+00,186811000000000000000,987.070307,-12.929693,-1.2929693000,1000.000000
2491022,uAPT,2025-03-17 06:21:18.803635+00,186811000000000000000,986.662563,-13.337437,-1.3337437000,1000.000000
2491032,uAPT,2025-03-17 06:21:37.8363+00,186811000000000000000,985.82477,-14.17523,-1.417523000,1000.000000
2491052,uAPT,2025-03-17 06:22:15.273056+00,186811000000000000000,985.276679,-14.723321,-1.4723321000,1000.000000
2491082,uAPT,2025-03-17 06:27:53.058442+00,187515000000000000000,986.565957,-13.434043,-1.3434043000,1000.000000
